seg_uid,seg_id,road_name,length_m
DM-192970-284108-DX27,DM00856,동계로13번길,44.2
DM-192970-284287-F0LS,DM00955,경양로305번길,19.6
DM-192971-284231-52VO,DM00948,경양로,33.6
DM-192972-283877-YM7N,DM00813,동명로25번길,64.7
DM-192973-283973-SZY4,DM00831,동계로1번길,34.3
DM-192974-283942-YM7N,DM00816,동명로25번길,62.4
DM-192975-283795-JFYG,DM00776,동계천로,52.8
DM-192977-283842-6Z8Q,DM03266,동명로,31.8
DM-192977-284166-5UT1,DM03308,동계로15번길,49.2
DM-192980-284248-52VO,DM00950,경양로,61.1
DM-192985-283767-6Z8Q,DM00921,동명로,27.9
DM-192986-284181-5UT1,DM02862,동계로15번길,61.4
DM-192992-283603-F9WR,DM00970,제봉로110번길,42.7
DM-192993-284118-DX27,DM00855,동계로13번길,42.7
DM-192994-283624-GO22,DM00973,장동로,40.2
DM-192996-284054-D27G,DM00844,동계로9번길,36.4
DM-192996-284100-DX27,DM00854,동계로13번길,8.5
DM-192996-284153-DX27,DM03307,동계로13번길,29.8
DM-192997-283903-YM7N,DM00809,동명로25번길,32.1
DM-192997-284288-F0LS,DM03324,경양로305번길,35.6
DM-192998-284224-52VO,DM02417,경양로,22.3
DM-193002-283663-GO22,DM00982,장동로,76.6
DM-193002-284009-SZY4,DM00832,동계로1번길,83.5
DM-193002-284276-F0LS,DM03325,경양로305번길,47.1
DM-193003-283868-YM7N,DM00810,동명로25번길,64.5
DM-193007-283833-6Z8Q,DM00903,동명로,30.0
DM-193008-283803-6Z8Q,DM00902,동명로,57.6
DM-193008-284169-5UT1,DM02864,동계로15번길,13.3
DM-193011-283964-SZY4,DM00829,동계로1번길,43.8
DM-193013-283749-JFYG,DM00922,동계천로,69.9
DM-193014-283698-JFYG,DM02464,동계천로,80.6
DM-193018-284280-F0LS,DM03326,경양로305번길,26.6
DM-193021-284090-DX27,DM00852,동계로13번길,45.5
DM-193022-283929-YM7N,DM00811,동명로25번길,63.4
DM-193022-284236-52VO,DM02418,경양로,46.3
DM-193024-283602-GO22,DM00974,장동로,35.4
